time,signal,feeder,pump,condition
20-10-2019-16:29:22,play,b'',,L reward
20-10-2019-16:29:32,,b'',,L reward
20-10-2019-16:29:42,play,b'',,L reward
20-10-2019-16:29:52,,b'',,L reward
20-10-2019-16:30:02,play,b'',,L reward
20-10-2019-16:30:12,,b'',,L reward
20-10-2019-16:30:22,play,b'',,L reward
20-10-2019-16:30:32,,b'',,L reward
20-10-2019-16:30:42,play,b'',,L reward
20-10-2019-16:30:52,,b'',,L reward
20-10-2019-16:31:02,play,b'',,L reward
20-10-2019-16:31:12,,b'',,L reward
20-10-2019-16:31:22,play,b'',,L reward
20-10-2019-16:31:32,,b'',,L reward
20-10-2019-16:31:42,play,b'',,L reward
20-10-2019-16:31:52,,b'',,L reward
20-10-2019-16:32:02,play,b'',,L reward
20-10-2019-16:32:12,,b'',,L reward
20-10-2019-16:32:22,play,b'',,L reward
20-10-2019-16:32:32,,b'',,L reward
20-10-2019-16:32:42,play,b'',,L reward
20-10-2019-16:32:52,,b'',,L reward
20-10-2019-16:33:03,play,b'',,L reward
20-10-2019-16:33:13,,b'',,L reward
20-10-2019-16:33:23,play,b'',,L reward
20-10-2019-16:33:33,,b'',,L reward
20-10-2019-16:33:43,play,b'',,L reward
20-10-2019-16:33:53,,b'',,L reward
20-10-2019-16:34:03,play,b'',,L reward
20-10-2019-16:34:13,,b'',,L reward
20-10-2019-16:34:23,play,b'',,L reward
20-10-2019-16:34:33,,b'',,L reward
20-10-2019-16:34:43,play,b'',,L reward
20-10-2019-16:34:53,,b'',,L reward
20-10-2019-16:35:03,play,b'',,L reward
20-10-2019-16:35:13,,b'',,L reward
20-10-2019-16:35:23,play,b'',,L reward
20-10-2019-16:35:33,,b'',,L reward
20-10-2019-16:35:43,play,b'',,L reward
20-10-2019-16:35:53,,b'',,L reward
20-10-2019-16:36:04,play,b'',,L reward
20-10-2019-16:36:14,,b'',,L reward
20-10-2019-16:36:24,play,b'',,L reward
20-10-2019-16:36:34,,b'',,L reward
20-10-2019-16:36:44,play,b'',,L reward
20-10-2019-16:36:54,,b'',,L reward
20-10-2019-16:37:04,play,b'',,L reward
20-10-2019-16:37:14,,b'',,L reward
20-10-2019-16:37:24,play,b'',,L reward
20-10-2019-16:37:34,,b'',,L reward
20-10-2019-16:37:44,play,b'',,L reward
20-10-2019-16:37:54,,b'',,L reward
20-10-2019-16:38:04,play,b'',,L reward
20-10-2019-16:38:14,,b'',,L reward
20-10-2019-16:38:25,play,b'',,L reward
20-10-2019-16:38:35,,b'',,L reward
20-10-2019-16:38:45,play,b'',,L reward
20-10-2019-16:38:55,,b'',,L reward
20-10-2019-16:39:05,play,b'',,L reward
20-10-2019-16:39:15,,b'',,L reward
20-10-2019-16:39:25,play,b'',,L reward
20-10-2019-16:39:35,,b'',,L reward
20-10-2019-16:39:45,play,b'',,L reward
20-10-2019-16:39:55,,b'',,L reward
20-10-2019-16:40:05,play,b'',,L reward
20-10-2019-16:40:15,,b'',,L reward
20-10-2019-16:40:25,play,b'',,L reward
20-10-2019-16:40:35,,b'',,L reward
20-10-2019-16:40:45,play,b'',,L reward
20-10-2019-16:40:55,,b'',,L reward
20-10-2019-16:41:05,play,b'',,L reward
20-10-2019-16:41:15,,b'',,L reward
20-10-2019-16:41:25,play,b'',,L reward
20-10-2019-16:41:35,,b'',,L reward
20-10-2019-16:41:45,play,b'',,L reward
20-10-2019-16:41:55,,b'',,L reward
20-10-2019-16:42:05,play,b'',,L reward
20-10-2019-16:42:15,,b'',,L reward
20-10-2019-16:42:25,play,b'',,L reward
20-10-2019-16:42:35,,b'',,L reward
20-10-2019-16:42:45,play,b'',,L reward
20-10-2019-16:42:55,,b'',,L reward
20-10-2019-16:43:05,play,b'',,L reward
20-10-2019-16:43:15,,b'',,L reward
20-10-2019-16:43:25,play,b'',,L reward
20-10-2019-16:43:35,,b'',,L reward
20-10-2019-16:43:45,play,b'',,L reward
20-10-2019-16:43:55,,b'',,L reward
20-10-2019-16:44:05,play,b'',,L reward
20-10-2019-16:44:15,,b'',,L reward
20-10-2019-16:44:25,play,b'',,L reward
20-10-2019-16:44:35,,b'',,L reward
20-10-2019-16:44:45,play,b'',,L reward
20-10-2019-16:44:55,,b'',,L reward
20-10-2019-16:45:05,play,b'',,L reward
20-10-2019-16:45:15,,b'',,L reward
20-10-2019-16:45:25,play,b'',,L reward
20-10-2019-16:45:35,,b'',,L reward
20-10-2019-16:45:45,play,b'',,L reward
20-10-2019-16:45:55,,b'',,L reward
20-10-2019-16:46:05,play,b'',,L reward
20-10-2019-16:46:15,,b'',,L reward
20-10-2019-16:46:25,play,b'',,L reward
20-10-2019-16:46:35,,b'',,L reward
20-10-2019-16:46:45,play,b'',,L reward
20-10-2019-16:46:55,,b'',,L reward
20-10-2019-16:47:05,play,b'',,L reward
20-10-2019-16:47:15,,b'',,L reward
20-10-2019-16:47:25,play,b'',,L reward
20-10-2019-16:47:35,,b'',,L reward
20-10-2019-16:47:45,play,b'',,L reward
20-10-2019-16:47:55,,b'',,L reward
20-10-2019-16:48:05,play,b'',,L reward
20-10-2019-16:48:15,,b'',,L reward
20-10-2019-16:48:25,play,b'',,L reward
20-10-2019-16:48:36,,b'',,L reward
20-10-2019-16:48:46,play,b'',,L reward
20-10-2019-16:48:56,,b'',,L reward
20-10-2019-16:49:06,play,b'',,L reward
20-10-2019-16:49:16,,b'',,L reward
20-10-2019-16:49:26,play,b'',,L reward
20-10-2019-16:49:36,,b'',,L reward
20-10-2019-16:49:46,play,b'',,L reward
20-10-2019-16:49:56,,b'',,L reward
20-10-2019-16:50:06,play,b'',,L reward
20-10-2019-16:50:16,,b'',,L reward
20-10-2019-16:50:26,play,b'',,L reward
20-10-2019-16:50:36,,b'',,L reward
