,signal,feeder,pump
12-05-2019-17:31:13,,b'',
12-05-2019-17:31:18,,b'',
12-05-2019-17:31:23,,b'',
12-05-2019-17:31:28,play,b'',
12-05-2019-17:31:35,,b'',
12-05-2019-17:31:40,,b'',
12-05-2019-17:31:45,,b'',
12-05-2019-17:31:50,play,b'',
12-05-2019-17:31:57,,b'',
12-05-2019-17:32:02,,b'',
12-05-2019-17:32:07,,b'',
12-05-2019-17:32:12,play,b'',
12-05-2019-17:32:19,,b'',
12-05-2019-17:32:24,,b'',
12-05-2019-17:32:29,,b'',
12-05-2019-17:32:34,play,b'',
12-05-2019-17:32:41,,b'',
12-05-2019-17:32:46,,b'',
12-05-2019-17:32:51,,b'',
12-05-2019-17:32:56,play,b'',
12-05-2019-17:33:03,,b'',
12-05-2019-17:33:08,,b'',
12-05-2019-17:33:13,,b'',
12-05-2019-17:33:18,play,b'',
12-05-2019-17:33:25,,b'',
12-05-2019-17:33:30,,b'',
12-05-2019-17:33:35,,b'',
12-05-2019-17:33:40,play,b'',
12-05-2019-17:33:48,,b'',
12-05-2019-17:33:53,,b'',
12-05-2019-17:33:58,,b'',
12-05-2019-17:34:03,play,b'',
12-05-2019-17:34:10,,b'',
12-05-2019-17:34:15,,b'',
12-05-2019-17:34:20,,b'',
12-05-2019-17:34:25,play,b'',
12-05-2019-17:34:32,,b'',
12-05-2019-17:34:37,,b'',
12-05-2019-17:34:42,,b'',
12-05-2019-17:34:47,play,b'',
12-05-2019-17:34:54,,b'',
12-05-2019-17:34:59,,b'',
12-05-2019-17:35:04,,b'',
12-05-2019-17:35:09,play,b'',
12-05-2019-17:35:16,,b'',
12-05-2019-17:35:21,,b'',
12-05-2019-17:35:26,,b'',
12-05-2019-17:35:31,play,b'',
12-05-2019-17:35:38,,b'',
12-05-2019-17:35:43,,b'',
12-05-2019-17:35:48,,b'',
12-05-2019-17:35:53,play,b'',
12-05-2019-17:36:00,,b'',
12-05-2019-17:36:05,,b'',
12-05-2019-17:36:10,,b'',
12-05-2019-17:36:15,play,b'',
12-05-2019-17:36:22,,b'',
12-05-2019-17:36:27,,b'',
12-05-2019-17:36:32,,b'',
12-05-2019-17:36:37,play,b'',
12-05-2019-17:36:44,,b'',
12-05-2019-17:36:49,,b'',
12-05-2019-17:36:54,,b'',
12-05-2019-17:36:59,play,b'',
12-05-2019-17:37:06,,b'',
12-05-2019-17:37:11,,b'',
12-05-2019-17:37:16,,b'',
12-05-2019-17:37:21,play,b'',
12-05-2019-17:37:28,,b'',
12-05-2019-17:37:33,,b'',
12-05-2019-17:37:38,,b'',
12-05-2019-17:37:43,play,b'',
12-05-2019-17:37:50,,b'',
12-05-2019-17:37:55,,b'',
12-05-2019-17:38:00,,b'',
12-05-2019-17:38:05,play,b'',
12-05-2019-17:38:12,,b'',
12-05-2019-17:38:17,,b'',
12-05-2019-17:38:22,,b'',
12-05-2019-17:38:27,play,b'',
12-05-2019-17:38:34,,b'',
12-05-2019-17:38:40,,b'',
12-05-2019-17:38:45,,b'',
12-05-2019-17:38:50,play,b'',
12-05-2019-17:38:57,,b'',
12-05-2019-17:39:02,,b'',
12-05-2019-17:39:07,,b'',
12-05-2019-17:39:12,play,b'',
12-05-2019-17:39:19,,b'',
12-05-2019-17:39:24,,b'',
12-05-2019-17:39:29,,b'',
12-05-2019-17:39:34,play,b'',
12-05-2019-17:39:41,,b'',
12-05-2019-17:39:46,,b'',
12-05-2019-17:39:51,,b'',
12-05-2019-17:39:56,play,b'',
12-05-2019-17:40:03,,b'',
12-05-2019-17:40:08,,b'',
12-05-2019-17:40:13,,b'',
12-05-2019-17:40:18,play,b'',
12-05-2019-17:40:25,,b'',
12-05-2019-17:40:30,,b'',
12-05-2019-17:40:35,,b'',
12-05-2019-17:40:40,play,b'',
12-05-2019-17:40:47,,b'',
12-05-2019-17:40:52,,b'',
12-05-2019-17:40:57,,b'',
12-05-2019-17:41:02,play,b'',
12-05-2019-17:41:09,,b'',
12-05-2019-17:41:14,,b'',
12-05-2019-17:41:19,,b'',
12-05-2019-17:41:24,play,b'',
12-05-2019-17:41:31,,b'',
12-05-2019-17:41:36,,b'',
12-05-2019-17:41:41,,b'',
12-05-2019-17:41:46,play,b'',
12-05-2019-17:41:53,,b'',
12-05-2019-17:41:58,,b'',
12-05-2019-17:42:03,,b'',
12-05-2019-17:42:08,play,b'',
12-05-2019-17:42:15,,b'',
12-05-2019-17:42:20,,b'',
12-05-2019-17:42:25,,b'',
12-05-2019-17:42:30,play,b'',
12-05-2019-17:42:37,,b'',
12-05-2019-17:42:42,,b'',
12-05-2019-17:42:47,,b'',
12-05-2019-17:42:52,play,b'',
12-05-2019-17:42:59,,b'',
12-05-2019-17:43:04,,b'',
12-05-2019-17:43:09,,b'',
12-05-2019-17:43:14,play,b'',
12-05-2019-17:43:22,,b'',
12-05-2019-17:43:27,,b'',
12-05-2019-17:43:32,,b'',
12-05-2019-17:43:37,play,b'',
12-05-2019-17:43:44,,b'',
12-05-2019-17:43:49,,b'',
12-05-2019-17:43:54,,b'',
12-05-2019-17:43:59,play,b'',
12-05-2019-17:44:06,,b'',
12-05-2019-17:44:11,,b'',
12-05-2019-17:44:16,,b'',
12-05-2019-17:44:21,play,b'',
12-05-2019-17:44:28,,b'',
12-05-2019-17:44:33,,b'',
12-05-2019-17:44:38,,b'',
12-05-2019-17:44:43,play,b'',
12-05-2019-17:44:50,,b'',
12-05-2019-17:44:55,,b'',
12-05-2019-17:45:00,,b'',
12-05-2019-17:45:05,play,b'',
12-05-2019-17:45:12,,b'',
12-05-2019-17:45:17,,b'',
12-05-2019-17:45:22,,b'',
12-05-2019-17:45:27,play,b'',
12-05-2019-17:45:34,,b'',
12-05-2019-17:45:39,,b'',
12-05-2019-17:45:44,,b'',
12-05-2019-17:45:49,play,b'',
12-05-2019-17:45:56,,b'',
12-05-2019-17:46:01,,b'',
12-05-2019-17:46:06,,b'',
12-05-2019-17:46:11,play,b'',
12-05-2019-17:46:18,,b'',
12-05-2019-17:46:23,,b'',
12-05-2019-17:46:28,,b'',
12-05-2019-17:46:33,play,b'',
12-05-2019-17:46:40,,b'',
12-05-2019-17:46:45,,b'',
12-05-2019-17:46:50,,b'',
12-05-2019-17:46:55,play,b'',
12-05-2019-17:47:02,,b'',
12-05-2019-17:47:07,,b'',
12-05-2019-17:47:12,,b'',
12-05-2019-17:47:17,play,b'',
12-05-2019-17:47:24,,b'',
12-05-2019-17:47:29,,b'',
12-05-2019-17:47:34,,b'',
12-05-2019-17:47:39,play,b'',
12-05-2019-17:47:46,,b'',
12-05-2019-17:47:51,,b'',
12-05-2019-17:47:57,,b'',
12-05-2019-17:48:02,play,b'',
12-05-2019-17:48:09,,b'',
12-05-2019-17:48:14,,b'',
12-05-2019-17:48:19,,b'',
12-05-2019-17:48:24,play,b'',
12-05-2019-17:48:31,,b'',
12-05-2019-17:48:36,,b'',
12-05-2019-17:48:41,,b'',
12-05-2019-17:48:46,play,b'',
12-05-2019-17:48:53,,b'',
12-05-2019-17:48:58,,b'',
12-05-2019-17:49:03,,b'',
12-05-2019-17:49:08,play,b'',
12-05-2019-17:49:15,,b'',
12-05-2019-17:49:20,,b'',
12-05-2019-17:49:25,,b'',
12-05-2019-17:49:30,play,b'',
12-05-2019-17:49:37,,b'',
12-05-2019-17:49:42,,b'',
12-05-2019-17:49:47,,b'',
12-05-2019-17:49:52,play,b'',
12-05-2019-17:49:59,,b'',
12-05-2019-17:50:04,,b'',
12-05-2019-17:50:09,,b'',
12-05-2019-17:50:14,play,b'',
12-05-2019-17:50:21,,b'',
12-05-2019-17:50:26,,b'',
12-05-2019-17:50:31,,b'',
12-05-2019-17:50:36,play,b'',
12-05-2019-17:50:43,,b'',
12-05-2019-17:50:48,,b'',
12-05-2019-17:50:53,,b'',
12-05-2019-17:50:58,play,b'',
12-05-2019-17:51:05,,b'',
12-05-2019-17:51:10,,b'',
12-05-2019-17:51:15,,b'',
12-05-2019-17:51:20,play,b'',
12-05-2019-17:51:27,,b'',
12-05-2019-17:51:32,,b'',
12-05-2019-17:51:37,,b'',
12-05-2019-17:51:42,play,b'',
12-05-2019-17:51:49,,b'',
12-05-2019-17:51:54,,b'',
12-05-2019-17:51:59,,b'',
12-05-2019-17:52:04,play,b'',
12-05-2019-17:52:11,,b'',
12-05-2019-17:52:16,,b'',
12-05-2019-17:52:21,,b'',
12-05-2019-17:52:26,,b'',
12-05-2019-17:52:27,play,,
12-05-2019-17:52:34,,b'',
12-05-2019-17:52:39,,b'',
12-05-2019-17:52:44,,b'',
12-05-2019-17:52:49,play,b'',
12-05-2019-17:52:56,,b'',
12-05-2019-17:53:01,,b'',
12-05-2019-17:53:06,,b'',
12-05-2019-17:53:11,play,b'',
12-05-2019-17:53:18,,b'',
12-05-2019-17:53:23,,b'',
12-05-2019-17:53:28,,b'',
12-05-2019-17:53:33,play,b'',
12-05-2019-17:53:40,,b'',
12-05-2019-17:53:45,,b'',
12-05-2019-17:53:50,,b'',
12-05-2019-17:53:55,play,b'',
12-05-2019-17:54:02,,b'',
12-05-2019-17:54:07,,b'',
12-05-2019-17:54:12,,b'',
12-05-2019-17:54:17,play,b'',
12-05-2019-17:54:24,,b'',
12-05-2019-17:54:29,,b'',
12-05-2019-17:54:34,,b'',
12-05-2019-17:54:39,play,b'',
12-05-2019-17:54:46,,b'',
12-05-2019-17:54:51,,b'',
12-05-2019-17:54:56,,b'',
12-05-2019-17:55:01,play,b'',
12-05-2019-17:55:08,,b'',
12-05-2019-17:55:13,,b'',
12-05-2019-17:55:18,,b'',
12-05-2019-17:55:23,play,b'',
12-05-2019-17:55:30,,b'',
12-05-2019-17:55:35,,b'',
12-05-2019-17:55:40,,b'',
12-05-2019-17:55:45,play,b'',
12-05-2019-17:55:52,,b'',
12-05-2019-17:55:57,,b'',
12-05-2019-17:56:02,,b'',
12-05-2019-17:56:07,play,b'',
12-05-2019-17:56:14,,b'',
12-05-2019-17:56:19,,b'',
12-05-2019-17:56:24,,b'',
12-05-2019-17:56:29,play,b'',
12-05-2019-17:56:36,,b'',
12-05-2019-17:56:41,,b'',
12-05-2019-17:56:46,,b'',
12-05-2019-17:56:51,play,b'',
12-05-2019-17:56:59,,b'',
12-05-2019-17:57:04,,b'',
12-05-2019-17:57:09,,b'',
12-05-2019-17:57:14,play,b'',
12-05-2019-17:57:21,,b'',
12-05-2019-17:57:26,,b'',
12-05-2019-17:57:31,,b'',
12-05-2019-17:57:36,play,b'',
12-05-2019-17:57:43,,b'',
12-05-2019-17:57:48,,b'',
12-05-2019-17:57:53,,b'',
12-05-2019-17:57:58,play,b'',
12-05-2019-17:58:05,,b'',
12-05-2019-17:58:10,,b'',
12-05-2019-17:58:15,,b'',
