,signal,bat_id_1,bat_id_2,feeder,pump,condition
05-11-2019-23:35:31,,,,no_bat,,L reward
05-11-2019-23:35:32,,,,no_bat,,L reward
05-11-2019-23:35:33,,,,no_bat,,L reward
05-11-2019-23:35:34,,,,no_bat,,L reward
05-11-2019-23:35:35,,,,no_bat,,L reward
05-11-2019-23:35:36,,,,no_bat,,L reward
05-11-2019-23:35:38,,,,no_bat,,L reward
05-11-2019-23:35:39,,,,no_bat,,L reward
05-11-2019-23:35:40,,,,no_bat,,L reward
05-11-2019-23:35:41,,,,no_bat,,L reward
05-11-2019-23:35:42,,,,no_bat,,L reward
05-11-2019-23:35:43,,,,no_bat,,L reward
05-11-2019-23:35:44,,,,no_bat,,L reward
05-11-2019-23:35:45,,,,no_bat,,L reward
05-11-2019-23:35:46,,,,no_bat,,L reward
05-11-2019-23:35:47,,,,no_bat,,L reward
05-11-2019-23:35:48,play,,,,,L reward
05-11-2019-23:35:49,,,,no_bat,,L reward
05-11-2019-23:35:50,,,,no_bat,,L reward
05-11-2019-23:35:51,,,,no_bat,,L reward
05-11-2019-23:35:52,,,,no_bat,,L reward
05-11-2019-23:35:53,,,,no_bat,,L reward
05-11-2019-23:35:54,,,,no_bat,,L reward
05-11-2019-23:35:55,,,,no_bat,,L reward
05-11-2019-23:35:56,,,,no_bat,,L reward
05-11-2019-23:35:57,,,,no_bat,,L reward
05-11-2019-23:35:58,,,,no_bat,,L reward
05-11-2019-23:35:59,,,,no_bat,,L reward
05-11-2019-23:36:00,,,,no_bat,,L reward
05-11-2019-23:36:01,,,,no_bat,,L reward
05-11-2019-23:36:02,,,,no_bat,,L reward
05-11-2019-23:36:03,,,,no_bat,,L reward
05-11-2019-23:36:04,,,,no_bat,,L reward
05-11-2019-23:36:05,,,,no_bat,,L reward
05-11-2019-23:36:06,,,,no_bat,,L reward
05-11-2019-23:36:07,,,,no_bat,,L reward
05-11-2019-23:36:08,,,,no_bat,,L reward
05-11-2019-23:36:09,,,,no_bat,,L reward
05-11-2019-23:36:10,play,,,no_bat,,L reward
05-11-2019-23:36:11,,,,no_bat,,L reward
05-11-2019-23:36:12,,,,no_bat,,L reward
05-11-2019-23:36:13,,,,no_bat,,L reward
05-11-2019-23:36:14,,,,no_bat,,L reward
05-11-2019-23:36:15,,,,no_bat,,L reward
05-11-2019-23:36:16,,,,no_bat,,L reward
05-11-2019-23:36:17,,,,no_bat,,L reward
05-11-2019-23:36:18,,,,no_bat,,L reward
05-11-2019-23:36:19,,,,no_bat,,L reward
05-11-2019-23:36:20,,,,no_bat,,L reward
05-11-2019-23:36:21,,,,no_bat,,L reward
05-11-2019-23:36:22,,,,no_bat,,L reward
05-11-2019-23:36:23,,,,no_bat,,L reward
05-11-2019-23:36:24,,,,no_bat,,L reward
05-11-2019-23:36:25,,,,no_bat,,L reward
05-11-2019-23:36:26,,,,no_bat,,L reward
05-11-2019-23:36:27,,,,no_bat,,L reward
05-11-2019-23:36:28,,,,no_bat,,L reward
05-11-2019-23:36:29,,,,no_bat,,L reward
05-11-2019-23:36:30,,,,no_bat,,L reward
05-11-2019-23:36:31,,,,no_bat,,L reward
05-11-2019-23:36:32,play,,,no_bat,,L reward
05-11-2019-23:36:33,,,,no_bat,,L reward
05-11-2019-23:36:34,,,,no_bat,,L reward
05-11-2019-23:36:35,,,,no_bat,,L reward
05-11-2019-23:36:36,,,,no_bat,,L reward
05-11-2019-23:36:37,,,,no_bat,,L reward
05-11-2019-23:36:38,,,,no_bat,,L reward
05-11-2019-23:36:39,,,,no_bat,,L reward
05-11-2019-23:36:40,,,,no_bat,,L reward
05-11-2019-23:36:41,,,,no_bat,,L reward
05-11-2019-23:36:42,,,,no_bat,,L reward
05-11-2019-23:36:43,,,,no_bat,,L reward
05-11-2019-23:36:44,,,,no_bat,,L reward
05-11-2019-23:36:45,,,,no_bat,,L reward
05-11-2019-23:36:46,,,,no_bat,,L reward
05-11-2019-23:36:47,,,,no_bat,,L reward
05-11-2019-23:36:48,,,,no_bat,,L reward
05-11-2019-23:36:49,,,,no_bat,,L reward
05-11-2019-23:36:50,,,,no_bat,,L reward
05-11-2019-23:36:51,,,,no_bat,,L reward
05-11-2019-23:36:52,,,,no_bat,,L reward
05-11-2019-23:36:53,play,,,no_bat,,L reward
05-11-2019-23:36:54,,,,no_bat,,L reward
05-11-2019-23:36:55,,,,no_bat,,L reward
05-11-2019-23:36:56,,,,no_bat,,L reward
05-11-2019-23:36:57,,,,no_bat,,L reward
05-11-2019-23:36:58,,,,no_bat,,L reward
05-11-2019-23:36:59,,,,no_bat,,L reward
05-11-2019-23:37:00,,,,no_bat,,L reward
05-11-2019-23:37:01,,,,no_bat,,L reward
05-11-2019-23:37:02,,,,no_bat,,L reward
05-11-2019-23:37:03,,,,no_bat,,L reward
05-11-2019-23:37:04,,,,no_bat,,L reward
05-11-2019-23:37:05,,,,no_bat,,L reward
05-11-2019-23:37:06,,,,no_bat,,L reward
05-11-2019-23:37:07,,,,no_bat,,L reward
05-11-2019-23:37:08,,,,no_bat,,L reward
05-11-2019-23:37:09,,,,no_bat,,L reward
05-11-2019-23:37:10,,,,no_bat,,L reward
05-11-2019-23:37:11,,,,no_bat,,L reward
05-11-2019-23:37:12,,,,no_bat,,L reward
05-11-2019-23:37:13,,,,no_bat,,L reward
05-11-2019-23:37:14,,,,no_bat,,L reward
05-11-2019-23:37:15,play,,,no_bat,,L reward
05-11-2019-23:37:16,,,,no_bat,,L reward
05-11-2019-23:37:17,,,,no_bat,,L reward
05-11-2019-23:37:18,,,,no_bat,,L reward
05-11-2019-23:37:19,,,,no_bat,,L reward
05-11-2019-23:37:20,,,,no_bat,,L reward
05-11-2019-23:37:21,,,,no_bat,,L reward
05-11-2019-23:37:22,,,,no_bat,,L reward
05-11-2019-23:37:23,,,,no_bat,,L reward
05-11-2019-23:37:24,,,,no_bat,,L reward
05-11-2019-23:37:25,,,,no_bat,,L reward
05-11-2019-23:37:26,,,,no_bat,,L reward
05-11-2019-23:37:27,,,,no_bat,,L reward
05-11-2019-23:37:28,,,,no_bat,,L reward
05-11-2019-23:37:29,,,,no_bat,,L reward
05-11-2019-23:37:30,,,,no_bat,,L reward
05-11-2019-23:37:31,,,,no_bat,,L reward
05-11-2019-23:37:32,,,,no_bat,,L reward
05-11-2019-23:37:33,,,,no_bat,,L reward
05-11-2019-23:37:34,,,,no_bat,,L reward
05-11-2019-23:37:35,,,,no_bat,,L reward
05-11-2019-23:37:36,,,,no_bat,,L reward
05-11-2019-23:37:37,play,,,no_bat,,L reward
05-11-2019-23:37:38,,,,no_bat,,L reward
05-11-2019-23:37:39,,,,no_bat,,L reward
05-11-2019-23:37:40,,,,no_bat,,L reward
05-11-2019-23:37:41,,,,no_bat,,L reward
05-11-2019-23:37:42,,,,no_bat,,L reward
05-11-2019-23:37:43,,,,no_bat,,L reward
05-11-2019-23:37:44,,,,no_bat,,L reward
05-11-2019-23:37:45,,,,no_bat,,L reward
05-11-2019-23:37:46,,,,no_bat,,L reward
05-11-2019-23:37:47,,,,no_bat,,L reward
05-11-2019-23:37:48,,,,no_bat,,L reward
05-11-2019-23:37:49,,,,no_bat,,L reward
05-11-2019-23:37:50,,,,no_bat,,L reward
05-11-2019-23:37:51,,,,no_bat,,L reward
05-11-2019-23:37:52,,,,no_bat,,L reward
05-11-2019-23:37:53,,,,no_bat,,L reward
05-11-2019-23:37:54,,,,no_bat,,L reward
05-11-2019-23:37:55,,,,no_bat,,L reward
05-11-2019-23:37:56,,,,no_bat,,L reward
05-11-2019-23:37:57,,,,no_bat,,L reward
05-11-2019-23:37:58,,,,no_bat,,L reward
05-11-2019-23:37:59,play,['307410CD2C02D9C000000001'],,b'101',1,L reward
05-11-2019-23:38:00,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:01,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:02,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:03,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:04,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:05,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:06,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:07,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:08,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:09,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:10,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:11,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:12,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:13,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:14,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:15,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:16,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:17,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:18,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:19,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:20,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:21,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:22,,['307410CD2C02D9C000000001'],,b'101',,L reward
05-11-2019-23:38:23,,,,no_bat,,L reward
05-11-2019-23:38:24,play,,,no_bat,,L reward
05-11-2019-23:38:25,,,,no_bat,,L reward
05-11-2019-23:38:26,,,,no_bat,,L reward
05-11-2019-23:38:27,,,,no_bat,,L reward
05-11-2019-23:38:28,,,,no_bat,,L reward
05-11-2019-23:38:29,,,,no_bat,,L reward
05-11-2019-23:38:30,,,,no_bat,,L reward
05-11-2019-23:38:31,,,,no_bat,,L reward
05-11-2019-23:38:32,,,,no_bat,,L reward
05-11-2019-23:38:33,,,,no_bat,,L reward
05-11-2019-23:38:35,,,,no_bat,,L reward
05-11-2019-23:38:36,,,,no_bat,,L reward
05-11-2019-23:38:37,,,,no_bat,,L reward
05-11-2019-23:38:38,,,,no_bat,,L reward
05-11-2019-23:38:39,,,,no_bat,,L reward
05-11-2019-23:38:40,,,,no_bat,,L reward
05-11-2019-23:38:41,,,,no_bat,,L reward
05-11-2019-23:38:42,,,,no_bat,,L reward
05-11-2019-23:38:43,,,,no_bat,,L reward
05-11-2019-23:38:44,,,,no_bat,,L reward
05-11-2019-23:38:45,play,,,,,L reward
05-11-2019-23:38:46,,,,no_bat,,L reward
05-11-2019-23:38:47,,,,no_bat,,L reward
05-11-2019-23:38:48,,,,no_bat,,L reward
05-11-2019-23:38:49,,,,no_bat,,L reward
